"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","GRUMP","LCType"
88,8.573512,10.466342,1.20332411372519,0.115317439659149,-0.513426058402171,-0.953043403152509,-0.875709547544069,-0.342665187457062,0.546217705714082,0.151712177144033,0.577508354354249,"R",1,"grass"
89,7.923961,11.058023,1.07931211575367,0.261349319111648,-0.58563398999569,-0.419771427925827,-0.877833920491156,-0.340905247280918,0.718278420777383,-0.111418435143942,-0.338641463420071,"R",2,"grass"
90,7.123666,10.033345,0.707659603894831,1.00792463400176,-0.0684763334021007,0.75117714359604,0.572237505753611,-0.322353125075553,-2.55126701841707,0.209968270592669,-0.852849374449579,"U",1,"grass"
91,7.453267,10.527146,1.02852051655389,-0.30818095351419,0.814804704880868,0.109638416708816,1.82095531927259,0.695779415297708,-0.513061297361287,0.135328181852864,-0.0124429069524461,"R",1,"crop"
92,7.703629,11.05812,1.08458879098589,-1.50349053434184,1.58063082656169,-0.451018524775712,1.24240012841698,0.842104282533279,0.536333793046574,-0.125493853775606,0.405082922684737,"R",1,"grass"
93,8.287681,11.696503,0.866520000398136,0.393037846543093,0.0150899377548084,0.737528384073016,-0.876395178016042,-0.335130453126818,0.500927183206436,-0.356482332444185,-0.0832819417799192,"R",1,"grass"
94,8.686374,11.892669,0.828164371287561,0.0437811335106796,-0.0491296456999279,0.693604066241364,0.286436156239031,-0.30491385454223,0.310684438242688,-0.461225030686024,-0.0829434984602176,"R",1,"crop"
95,8.902605,11.577307,0.852716100458006,-0.260632102872311,-0.164689230199678,0.654258029627478,-0.877833920491156,-0.304685048446038,0.936632610759019,-0.36492195262056,0.569176969432212,"R",1,"crop"
96,8.239196,11.790579,0.835989253104327,-0.416448402935406,-0.11257332714807,1.13697759311647,-0.877833920491156,-0.322726582137789,0.780602077156452,-0.390836361421331,-0.690410733664973,"R",1,"grass"
97,8.434132,11.781657,0.828036690920091,0.20961258070382,0.280082897933561,0.670108657985221,0.560648135139229,-0.142764009869097,-2.55126701841707,-0.39344562181244,0.386559391553008,"R",1,"crop"
98,8.223351,12.042057,0.899390814421522,-0.266215270737881,0.322435869751347,0.623935903589234,-0.877833920491156,-0.301602913261048,-0.479926870935769,-0.491713321439229,0.782164237396226,"R",1,"crop"
99,8.330692,12.026496,0.864975393039006,-0.432247156178989,0.0306499463645824,1.15304726306951,0.261193876980071,-0.294854630916465,0.713725815895814,-0.483036786402127,0.368931385256295,"R",2,"crop"
100,8.86605,11.812156,0.734101988576178,-0.259850865309488,-0.0209048685344199,0.630935158989179,0.247017182217672,-0.204970039168864,0.0274723327127409,-0.469808157093149,-0.603879798220163,"U",2,"urban"
101,8.514462,11.99642,0.855298786890658,-2.71120960333742,2.2470337702145,1.4993098903585,1.90328468104661,3.78307058931409,-1.02814863027871,-0.475440478464694,0.22538060491837,"U",1,"grass"
102,8.570092,12.023289,0.835364571683344,-1.92880782240851,1.66680282842535,0.862594413412838,1.87711862872599,0.952523298409947,-1.00512247093359,-0.493232819173367,0.221801760055345,"R",2,"crop"
103,7.92969,12.78744,0.914579828678568,-0.659119643757375,0.841042200294155,0.468935962459105,-0.877833920491156,-0.292706335730625,0.635445467636131,-0.932711472889317,0.275019332687799,"R",1,"crop"
104,7.29993,11.671409,1.06621770416843,0.24689320765731,-0.358673260418479,-0.261135208184766,-0.877833920491156,-0.350301246575204,0.0657420174804111,-0.319897501316103,0.437871011291032,"R",1,"crop"
105,7.713316,13.17727,0.80280798697127,-0.432195242719295,1.28208114959863,0.468952373663348,-0.877833920491156,-0.332977666231219,-0.188186257575417,-1.28055932981512,0.662293692540189,"R",1,"crop"
106,7.713127,12.041367,1.00938876338167,0.318728174770322,-0.223949069781303,-0.339494194550724,-0.877833920491156,-0.250306551856293,-0.865557061219129,-0.5028309799951,0.389745287825242,"R",1,"crop"
107,7.13364,11.393078,1.12130248092148,0.888586577465129,-0.774462846142249,-0.645114270448596,-0.872299359576611,-0.328148021492589,1.06147226962635,-0.183407956702958,0.160973380834172,"R",1,"crop"
108,8.746168,12.849162,0.721075210624108,-0.242415082002072,0.754338108569069,1.21076055603758,-0.193654494473651,-0.281299157287734,-0.202780392127462,-1.22451645851832,1.29836975068414,"R",1,"crop"
109,8.504643,13.057727,0.867932747256358,-0.59395588069355,0.964265378981747,1.28729260357991,-0.190095342116201,-0.314218352561431,0.180194043103884,-1.28048769222462,0.347425937805668,"R",1,"grass"
110,4.639867,12.996569,0.333236422641328,0.0185115443298925,0.513313878411748,1.52426988669092,-0.498582186008215,-0.323568458317255,-1.06330721982192,-1.1466584018497,0.223595573930698,"R",2,"crop"
111,4.545212,12.434628,0.329991043941141,-0.799650788710851,1.16374008787779,1.66328639860242,-0.877833920491156,-0.338170362588466,0.118937290141748,-0.849123932613087,-0.607401257279537,"U",1,"crop"
112,4.540254,11.492791,0.296327265030603,-0.29649964397883,0.456017048017654,1.36202488319082,-0.877833920491156,-0.342162964228893,0.759395381192699,-0.447866551312407,0.327115974657982,"R",1,"crop"
113,5.296415,12.890081,0.52391810111948,-0.496987961336655,0.461491069495222,1.54892979582711,0.36846498577924,-0.34423600364661,0.500678862214975,-1.01788091355733,-0.300074203031667,"R",1,"crop"
114,5.315405,13.75809,0.438850785740315,-0.632341408434742,1.42369225965139,1.78097323169333,0.00249931374678745,-0.338595988679845,0.61737920439121,-1.45292374819094,0.550979134526087,"R",1,"crop"
115,5.190939,12.682169,0.457424454855738,-0.657091945395077,0.475509958576713,1.70641692142437,-0.877833920491156,-0.351976982690837,0.697588789460161,-0.924498952988397,0.311436970065301,"R",1,"crop"
116,4.971851,12.710833,0.426448918870855,-0.0837004469062717,0.729072936045318,1.68126233732328,-0.477238632869513,-0.321879931256046,0.690751335374746,-0.959755674833376,0.772956313229005,"R",1,"crop"
