"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","LCType","ID","GRUMP"
296,1.212265,6.146233,-1.68317304284104,-1.76108502646071,1.86776463156052,1.35981297007855,1.60711746515823,1.38178531658947,0.301161873562862,-1.22790426147745,0.730871509775896,"U","urban",296,2
297,1.257053,9.74706,1.24452440997014,-0.109081716316383,-1.04053679098999,-0.241370366715519,-0.85762691195639,-0.6320731783142,0.783492074860346,1.39180730653453,0.516755385920162,"R","grass",297,1
298,0.733643,7.286398,1.53813689005811,1.32546895925554,-1.97683407984143,-2.93307632207968,-0.85762691195639,-0.872800020256712,0.613825719796085,0.71355309456203,-0.0214881727439614,"R","grass",298,1
299,0.275674,10.672458,0.618831188451436,0.0938785595755631,0.68162824032853,1.37660737197354,-0.85762691195639,-0.591251874416575,0.404690094157849,0.902795491778656,0.266916418386177,"R","crop",299,1
300,0.979735,6.388968,-0.225207092898661,1.12627623150083,-1.25291167317743,-1.43459522126889,-0.85762691195639,-0.948257224399782,0.301161873562862,-1.12479069637427,0.440141334607353,"R","crop",300,1
301,1.167557,6.199837,-0.767142827063303,-0.910288311845788,0.374285794212028,0.473394723329848,1.52561137253655,1.39226761725221,0.508839973986528,-1.21336588838275,0.353634566088788,"U","grass",301,2
302,1.14269,7.520883,0.785712482218358,0.353719201971358,0.0257923502557216,-0.522994200626955,0.651142066323531,1.07453701099266,-1.74781157245781,0.228760625400913,0.624549003960708,"U","grass",302,2
303,0.614036,9.705027,0.582736282476375,0.504038878396535,-0.515039538935899,0.385456328577327,-0.85762691195639,-0.758673563778609,0.301479754607444,0.973135611372725,-2.47716030388529,"U","grass",303,1
304,0.638823,7.548592,1.38264296691039,2.00281907228568,-2.34603697394,-2.24100215320336,-0.85762691195639,-0.867707415715108,0.725805098209488,0.684885261299849,-0.019055505492139,"R","crop",304,1
305,1.087607,9.758996,1.08730113195641,-0.211440371784274,-0.553834345659308,-0.337906294563226,-0.39653182749931,-0.925183822435931,0.509113184256724,1.38069655811156,0.556579266728719,"U","grass",305,1
