"DHSCLUST","LONGNUM","LATNUM","arabiensis_crop","EVI_Sept_2011_crop","GHA_alt_crop","GHA_popden14_crop","GHA_Roaddist_crop","GHA_waterdist_crop","LC_2011_crop","LST_Day_crop","LST_Night_crop","Nightlights_crop","Rainfall_Sept11_crop","URBAN_RURA","LCType","GRUMP"
93,-0.475788,5.558925,0.667831833460347,-0.261299417946114,-0.61780460850407,0.65016084727319,0.860193044020219,0.0532799353245166,0,-0.132648193403269,-0.635942924680213,-0.0240574192639615,-1.35140748393808,"U","crop",1
94,-0.754672,6.633223,-3.15522550131747,0.966041027071327,1.44102122594563,-0.0277054747050252,1.14327397424443,0.656608789136368,1,-1.1797482077088,-0.494304436077733,-0.447653944324066,-0.0827410286016592,"U","urban",2
95,-2.160132,10.837521,0.492554106307341,0.894067591635191,0.903972695565443,-1.17485396813448,0.891989378783503,0.186182987749291,0,0.304035361473338,1.26776064416864,-0.896600384290439,-0.119381154282923,"R","grass",1
96,0.131078,9.712389,0.257276324953896,-0.238683822212417,0.111615763960847,-1.0187981197654,-0.484597778687878,-0.65632757607566,0,0.678536978296225,0.392745783991282,-0.914774721559906,0.980833491589307,"R","grass",1
97,-0.703546,7.689684,0.109295862941844,0.872604467766713,0.23303848421996,-1.13938235185897,-0.981433112472152,1.07882398895148,0,-2.88202252781659,1.19806210206331,-0.899098997992401,1.55721093977223,"R","crop",1
98,-0.425483,6.258214,-0.993190820348678,0.0353507957262298,0.699895831500712,0.342163793116593,-0.287245103871611,-0.159518624541503,1,0.282775956605448,0.571340371184144,-0.297250230639063,-0.120787778684032,"U","crop",1
99,-1.148764,9.021906,-0.175244096429163,-0.171445941135568,-0.11365437119724,-1.05184964242016,1.66815697338457,-0.0021457515781178,0,-0.338602668250908,-2.23688250931693,-0.908554348221026,1.16183750262399,"R","grass",1
100,-0.162382,5.564213,0.653221258697596,-1.87968111284737,-1.19466199477784,2.36185111082181,-0.396142220712424,1.24019301375585,1,-0.643145969441328,-0.446347213140433,2.07459706472323,-1.62742736431455,"U","urban",2
101,0.440938,6.766258,0.0289149195685413,1.964641760192,0.70021013511083,-0.995363149524765,0.162547642000704,-0.167426819719563,0,-0.273161454569472,-0.165927032495846,-0.851068841394448,-0.11523995533084,"R","crop",1
102,-2.318479,7.381131,-0.125878289717674,-0.274580148415982,0.884971399329404,-0.0336011351405587,-0.470684100538918,0.274976760605636,0,-0.571722707408953,-0.0880357847428801,-0.121808314515342,1.21055438419979,"U","crop",2
103,-0.688929,8.218042,0.323828816489825,0.158830942550283,-0.065108188532181,-1.16953959066661,0.416135496163292,0.269198486024904,0,-0.502807538861299,2.10367418686155,-0.887180869301211,1.63133168687954,"R","crop",1
104,-1.613891,6.729737,0.622291539035262,-1.15029500644897,0.860732878888903,1.86843986941369,-0.242145005697385,0.763851273529041,1,1.11680846821971,0.641322192374449,1.43779096219146,0.872232535098781,"U","urban",2
105,0.430522,6.071222,0.397823927896816,-0.171075853721419,-2.73376926598299,-0.209244121860494,-0.15221697829129,-0.510451784643921,0,0.346748244783043,0.538221240330716,-0.126172889140845,-1.26227410301322,"U","crop",1
106,-2.354333,4.946797,-1.83117632877737,-0.250881519833309,-2.40993713485027,-1.01854338899553,0.383862830735773,0.453653407966218,0,-0.164161408205407,-0.917542291601139,-0.668913549480523,-1.07498525476035,"U","forest",1
107,0.340457,6.953207,0.0752198925526602,0.931178787680329,0.0123011633173319,-0.198590284438281,-0.569587027522203,-0.721015653210495,0,-1.66158974918119,0.271694094854754,-0.842546967995001,0.282924782987023,"R","crop",1
