"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","GRUMP","LCType","URBAN_RURA"
34,-4.586189,10.629574,-0.170633282884484,1.81926724792563,-2.31640432220274,-1.23548635532891,-0.526848632501924,-0.387600165526425,0.21901361674626,1.47137891030873,-0.234474533777316,1,"crop","R"
35,-5.181945,10.55783,0.380155779219972,0.962727859366867,-2.32512471488099,-1.39099984849343,-0.526848632501924,-0.509422352291304,0.898728866419727,1.7415015355159,0.0502253835488845,1,"crop","R"
36,-5.22671,10.766506,4.74586786714727,0.5461989303777,-1.37442597551016,-3.33135098501782,-0.526848632501924,-0.517580597035,0.46505519843472,1.99699318067189,0.0502253835488845,1,"grass","R"
37,-5.303059,10.626366,1.18117422984442,1.64814572593843,-2.50735413190781,-0.964049086177385,-0.526848632501924,-0.447483973361455,0.219574134946433,1.85077650799925,-0.235216348079259,1,"crop","R"
38,-5.252066,10.365535,0.129370528504496,0.819699213189198,-2.16967692683515,-0.611495561085539,-0.526848632501924,-0.406525515544926,-1.87124843763736,1.7560217858065,-0.234873507353986,1,"crop","R"
39,-5.191116,10.602689,-0.0108803899522633,0.564733721770273,-1.71342786555098,-0.776918369283751,-0.526848632501924,-0.447483973361455,0.652736480162847,1.76674797020486,-3.0433531275994,2,"crop","R"
40,-1.531596,12.278849,0.389976186836786,-1.61891911282235,0.959866514017737,-0.121431648695451,2.05646389310096,-0.653635505495379,-1.87124843763736,0.0401677930282635,0.357677256596698,2,"grass","R"
41,-1.367047,12.167698,-0.172479894876788,0.456416646604357,-0.200670914125513,0.60664266691133,-0.526848632501924,-0.472715285005112,0.536391383609751,0.181986908258005,0.335035987641142,1,"crop","R"
42,-1.410594,12.412338,-0.341186950421732,-1.46926200166658,-0.0639568445558892,-0.00462184062846863,1.12803772804385,-0.428915655994065,-1.87124843763736,-0.0543656777502436,0.475777547378616,2,"grass","R"
43,-1.778371,12.328461,0.879311028212207,0.10746473206126,-0.670215987538374,-0.448776991134955,1.01954287755851,-0.155887973473283,0.769377656980862,0.00735879900234369,0.773972202884305,1,"crop","R"
44,-1.552323,12.365458,0.0304210010402406,-2.08541591053174,1.4666262013252,0.80530802988313,2.59506509758473,2.6232781846611,0.217133146490705,-0.0129521504839105,0.0954094333946904,2,"urban","U"
45,-1.554552,12.392921,-0.318383850706032,-0.838537980891288,1.05607725950114,0.778545229789455,2.55476793589907,2.6232781846611,0.217103892533276,-0.0283036736545944,-3.0433531275994,2,"urban","U"
46,-1.495096,12.343847,0.275917365163643,-2.14238465323418,1.11118534301249,0.953578078813893,2.61548750096015,2.60028406909686,0.32432079841877,0.00417599769431338,0.522992172569754,2,"urban","U"
47,-1.478726,12.334101,0.232038272844215,-2.35228985455757,1.09806225539556,-0.0279478837579573,2.49150919433143,2.61117916749891,0.463698636576828,0.0107268743855426,0.622286535818911,2,"urban","U"
48,-1.473737,12.339002,0.318207815867744,-2.51049922057692,1.23885812810682,0.752409211039423,2.49641802497432,2.6232781846611,0.536290815822985,0.00468360483932234,0.576228076445805,2,"urban","U"
49,-1.475163,12.37602,-0.134858988768216,-2.19374162712085,1.69735039939484,1.12992095938159,2.57388860826593,2.6232781846611,0.32429664627061,-0.0194894733455587,0.378244043722881,2,"urban","U"
50,-1.584878,12.329031,-0.0155053686155302,-0.956719579723731,0.479003140099749,0.715385749121513,2.38038657881326,2.6232781846611,-1.87124843763736,0.00626175614451793,0.523001191114147,2,"urban","U"
51,-1.564482,12.363333,-0.124688964665587,-0.794281798703358,0.727456531174297,0.116191308648444,2.54043117050666,2.6232781846611,0.431493943395109,-0.0128423608582592,0.0954094333946904,2,"grass","U"
52,-1.569774,12.361749,-0.124688964665587,-0.794281798703358,0.727456531174297,0.116191308648444,2.54043117050666,2.6232781846611,0.431493943395109,-0.0128423608582592,0.0954094333946904,2,"grass","U"
53,-1.560485,12.33358,0.427418136281137,-2.23178793203504,1.79952616726785,0.883982262322817,2.58180026457515,2.6232781846611,0.219574134946433,0.00715984404272303,0.501667379151404,2,"urban","U"
54,-1.596767,12.342634,-0.0937213253344068,-1.22887106167955,0.652585320205809,0.278025117153059,2.31183695608983,2.57808071717275,0.217162342662972,0.00168509215940988,0.52712006074153,2,"grass","U"
55,-1.485317,12.402994,-0.47120002126749,-0.205745394686014,-0.56169769748848,0.028301363905956,2.58682725631674,2.6232781846611,-1.87124843763736,-0.0371527893242868,0.235474317196127,2,"crop","U"
56,-1.524893,12.391948,-0.366205384519786,-1.68870336937437,0.211579033905825,0.825423982072665,2.56355933211049,2.4744338784481,0.463644261480092,-0.0293944532490634,-3.0433531275994,2,"urban","U"
57,-1.588113,12.381116,-0.265287631481676,-1.74067058760511,1.1062192971393,-0.14384919529995,2.45617357637584,2.6232781846611,-1.87124843763736,-0.0223637216506781,0.213511978710252,2,"grass","U"
58,-1.581651,12.402981,-0.0705125925395142,-1.70869016110221,1.26997262136196,0.0773622284602377,2.44310202205261,2.6232781846611,0.431493943395109,-0.031905547582409,0.235474317196127,2,"grass","U"
59,-0.460196,11.625976,-1.60803249378257,0.103639452775541,0.639009314433331,0.433192500241541,-0.526848632501924,-0.403541919641474,0.891872295911957,0.373761411807455,-0.236625000153629,1,"crop","R"
61,-0.36796,11.200774,-3.28449538883933,0.746012359478382,0.740770540526218,0.647032232739298,-0.526848632501924,-0.436288386289447,0.800758183773514,0.424489489284958,0.238315316515723,1,"crop","R"
62,-0.620994,11.768757,-0.061132845208046,-0.277639479290147,-0.146283159683463,0.592997699041152,-0.526848632501924,-0.329650955924736,0.571437356625722,0.383090448968384,0.665297672580518,1,"crop","R"
63,-0.556968,11.815481,0.0435502173486684,-0.451185635095637,-0.387635255845193,0.811841672760355,0.842161681322023,2.8413558969075,0.219574134946433,0.412074523235196,0.547043895641197,2,"crop","U"
64,-0.740943,11.772675,-1.92616262796694,-0.543624809703428,-0.56806277569479,0.580461974575057,-0.526848632501924,0.366177815713734,0.217807781570236,0.255328471245868,-0.0933239033409213,1,"crop","R"
65,-0.348067,11.777364,-0.179199548038932,0.288175025885003,-0.327760767498214,-0.281551990518271,1.13894550455773,0.230691004465081,-1.87124843763736,0.468142357196929,0.0478511231629945,2,"crop","U"
66,-0.430257,11.730468,-0.995168368369063,-0.162827707985695,-0.306262754923669,0.424461396209443,-0.526848632501924,-0.350321601786131,0.822600837755836,0.470505811971819,-0.236785410196209,1,"crop","R"
